,Number,Plate,Well,Column,Project,SampleType,Mouse,Date,Day,Isolator,Isolator_2,Community,MouseType,Observations,Quantity.Added,X16S_Set,DNA.Extraction.Kit,SeqName,Location,finalDaySamples
S38,38,1,D,2,MouseExp1,Stool,1R,7.23,2,115,NA,Small Intestine,SW1,,NA,1,Power Bead,S38,Stool,0
S39,39,1,D,3,MouseExp1,Stool,B,7.26,5,121,NA,Stool,SW1,,NA,1,Power Bead,S39,Stool,0
S4,4,1,A,4,MouseExp1,Stool,2R,7.22,1,115,NA,Small Intestine,SW1,,NA,1,Power Bead,S4,Stool,0
S40,40,1,D,4,MouseExp1,Stool,2R,7.26,5,121,NA,Stool,SW1,,NA,1,Power Bead,S40,Stool,0
S41,41,1,D,5,MouseExp1,Stool,1L,7.26,5,121,NA,Stool,SW1,,NA,1,Power Bead,S41,Stool,0
S42,42,1,D,6,MouseExp1,Stool,1L,7.26,5,121,NA,Stool,B6,,NA,1,Power Bead,S42,Stool,0
S43,43,1,D,7,MouseExp1,Stool,1R,7.26,5,121,NA,Stool,SW1,,NA,1,Power Bead,S43,Stool,0
S49,49,1,E,1,MouseExp1,Stool,B,7.26,5,121,NA,Stool,SW2,,NA,1,Power Bead,S49,Stool,0
S5,5,1,A,5,MouseExp1,Stool,B,7.22,1,115,NA,Small Intestine,SW2,,NA,1,Power Bead,S5,Stool,0
S50,50,1,E,2,MouseExp1,Stool,2L,7.26,5,121,NA,Stool,SW2,,NA,1,Power Bead,S50,Stool,0
S51,51,1,E,3,MouseExp1,Stool,1L,7.26,5,121,NA,Stool,SW2,,NA,1,Power Bead,S51,Stool,0
S52,52,1,E,4,MouseExp1,Stool,1R,7.26,5,121,NA,Stool,SW2,,NA,1,Power Bead,S52,Stool,0
S53,53,1,E,5,MouseExp1,Stool,1R,7.26,5,121,NA,Stool,B6,,NA,1,Power Bead,S53,Stool,0
S54,54,1,E,6,MouseExp1,Stool,1R,7.26,5,115,NA,Small Intestine,SW1,,NA,1,Power Bead,S54,Stool,0
S55,55,1,E,7,MouseExp1,Stool,2L,7.26,5,115,NA,Small Intestine,SW2,,NA,1,Power Bead,S55,Stool,0
S6,6,1,A,6,MouseExp1,Stool,2R,7.22,1,121,NA,Stool,SW1,,NA,1,Power Bead,S6,Stool,0
S61,61,1,F,1,MouseExp1,Stool,B,7.27,6,115,NA,Small Intestine,SW1,,NA,1,Power Bead,S61,Stool,0
S62,62,1,F,2,MouseExp1,Stool,1L,7.27,6,115,NA,Small Intestine,B6,,NA,1,Power Bead,S62,Stool,0
S63,63,1,F,3,MouseExp1,Stool,1R,7.27,6,115,NA,Small Intestine,B6,bedding,NA,1,Power Bead,S63,Stool,0
S64,64,1,F,4,MouseExp1,Stool,1R,7.27,6,121,NA,Stool,B6,,NA,1,Power Bead,S64,Stool,0
S65,65,1,F,5,MouseExp1,Stool,1R,7.27,6,121,NA,Stool,SW2,,NA,1,Power Bead,S65,Stool,0
S66,66,1,F,6,MouseExp1,Stool,B,7.27,6,121,NA,Stool,SW2,bedding,NA,1,Power Bead,S66,Stool,0
S67,67,1,F,7,MouseExp1,Stool,2R,7.27,6,121,NA,Stool,SW1,,NA,1,Power Bead,S67,Stool,0
S7,7,1,A,7,MouseExp1,Stool,1L,7.22,1,121,NA,Stool,SW1,Runny,NA,1,Power Bead,S7,Stool,0
S73,73,1,G,1,MouseExp1,Stool,1L,7.27,6,115,NA,Small Intestine,SW2,,NA,1,Power Bead,S73,Stool,0
S74,74,1,G,2,MouseExp1,Stool,1R,7.27,6,121,NA,Stool,SW1,,NA,1,Power Bead,S74,Stool,0
S75,75,1,G,3,MouseExp1,Stool,1L,7.27,6,121,NA,Stool,B6,,NA,1,Power Bead,S75,Stool,0
S76,76,1,G,4,MouseExp1,Stool,B,7.27,6,121,NA,Stool,SW1,not sure if this was somethong else but smelled super bad after i opened the lid until i closed the lid (also had a different lid),NA,1,Power Bead,S76,Stool,0
S77,77,1,G,5,MouseExp1,Stool,2L,7.27,6,121,NA,Stool,SW2,,NA,1,Power Bead,S77,Stool,0
S78,78,1,G,6,MouseExp1,Stool,1L,7.27,6,121,NA,Stool,SW1,,NA,1,Power Bead,S78,Stool,0
S79,79,1,G,7,MouseExp1,Stool,B,8.2,12,115,NA,Small Intestine,SW1,where new plate starts,NA,1,Power Bead,S79,Stool,0
S8,8,1,A,8,MouseExp1,Stool,1R,7.22,1,121,NA,Stool,SW2,,NA,1,Power Bead,S8,Stool,0
S85,85,1,H,1,MouseExp1,Stool,1R,8.2,12,121,NA,Stool,SW2,,NA,1,Power Bead,S85,Stool,0
S86,86,1,H,2,MouseExp1,Stool,1L,8.2,12,121,NA,Stool,SW1,,NA,1,Power Bead,S86,Stool,0
S87,87,1,H,3,MouseExp1,Stool,2L,8.2,12,121,NA,Stool,SW2,,NA,1,Power Bead,S87,Stool,0
S88,88,1,H,4,MouseExp1,Stool,B,8.2,12,121,NA,Stool,SW1,,NA,1,Power Bead,S88,Stool,0
S89,89,1,H,5,MouseExp1,Stool,1R,8.2,12,121,NA,Stool,B6,,NA,1,Power Bead,S89,Stool,0
S90,90,1,H,6,MouseExp1,Stool,2L,8.2,12,115,NA,Small Intestine,SW2,,NA,1,Power Bead,S90,Stool,0
S91,91,1,H,7,MouseExp1,Stool,1R,8.2,12,115,NA,Small Intestine,B6,,NA,1,Power Bead,S91,Stool,0
S92,92,1,H,8,MouseExp1,Stool,1L,8.2,12,115,NA,Small Intestine,SW2,,NA,1,Power Bead,S92,Stool,0
S97,97,2,A,1,MouseExp1,Stool,B,8.2,12,121,NA,Stool,SW2,,NA,2,Power Bead,S97,Stool,0
S98,98,2,A,2,MouseExp1,Stool,1R,8.2,12,121,NA,Stool,SW1,,NA,2,Power Bead,S98,Stool,0
S99,99,2,A,3,MouseExp1,Stool,2R,7.28,7,115,NA,Small Intestine,SW1,,NA,2,Power Bead,S99,Stool,0
